seed_id,citing_openalex_id,citing_doi,citing_mag,citing_pmid,citing_year,citing_decade,citing_type,citing_type_crossref,citing_is_retracted,citing_language,citing_cited_by_count,citing_primary_topic,citing_primary_field,citing_primary_subfield,citing_primary_source,citing_is_oa,citing_oa_url,citing_title,cites_target_ids,cites_n_target_editions
meadows_1972_limits_to_growth,https://openalex.org/W2061352695,https://doi.org/10.1002/sd.244,2061352695,,2005,2000s,article,,False,en,2281,Environmental Philosophy and Ethics,Environmental Science,Nature and Landscape Conservation,Sustainable Development,False,,Sustainable development: mapping different approaches,W2079238586|W3145345180,2
meadows_1972_limits_to_growth,https://openalex.org/W2967769829,https://doi.org/10.1080/23311886.2019.1653531,2967769829,,2019,2010s,article,,False,en,1812,Sustainable Development and Environmental Policy,Environmental Science,"Management, Monitoring, Policy and Law",Cogent Social Sciences,True,https://www.tandfonline.com/doi/pdf/10.1080/23311886.2019.1653531?needAccess=true,"Sustainable development: Meaning, history, principles, pillars, and implications for human action: Literature review",W2079238586,1
meadows_1972_limits_to_growth,https://openalex.org/W2889003232,https://doi.org/10.1016/j.respol.2018.08.011,2889003232,,2018,2010s,article,,False,en,1658,University-Industry-Government Innovation Models,"Business, Management and Accounting",Management of Technology and Innovation,Research Policy,True,https://doi.org/10.1016/j.respol.2018.08.011,"Three frames for innovation policy: R&amp;D, systems of innovation and transformative change",W2079238586|W3145345180,2
meadows_1972_limits_to_growth,https://openalex.org/W2160334111,https://doi.org/10.1016/j.ecolecon.2003.10.017,2160334111,,2004,2000s,article,,False,en,1428,Sustainable Development and Environmental Policy,Environmental Science,"Management, Monitoring, Policy and Law",Ecological Economics,False,,Squaring the circle? Some thoughts on the idea of sustainable development,W2079238586|W3145345180,2
meadows_1972_limits_to_growth,https://openalex.org/W2613828822,https://doi.org/10.1111/jiec.12603,2613828822,,2017,2010s,article,,False,en,1313,Sustainable Supply Chain Management,"Business, Management and Accounting",Strategy and Management,Journal of Industrial Ecology,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jiec.12603,The Emergence of Circular Economy: A New Framing Around Prolonging Resource Productivity,W2079238586|W3145345180,2
meadows_1972_limits_to_growth,https://openalex.org/W2476934344,https://doi.org/10.1093/acprof:oso/9780195335637.001.0001,2476934344,,2008,2000s,book,,False,en,1296,Ecocriticism and Environmental Literature,Arts and Humanities,Literature and Literary Theory,,False,,Sense of Place and Sense of Planet,W2079238586,1
meadows_1972_limits_to_growth,https://openalex.org/W2058537245,https://doi.org/10.1016/j.enpol.2011.09.039,2058537245,,2011,2010s,article,,False,en,1277,Water-Energy-Food Nexus Studies,Environmental Science,Water Science and Technology,Energy Policy,True,https://figshare.com/articles/journal_contribution/Considering_the_energy_water_and_food_nexus_Towards_an_integrated_modelling_approach/23382701,"Considering the energy, water and food nexus: Towards an integrated modelling approach",W2079238586|W225706379,2
meadows_1972_limits_to_growth,https://openalex.org/W2061262793,https://doi.org/10.1080/14616689908721291,2061262793,,1999,1990s,review,,False,en,1276,Diverse Aspects of Tourism Research,Social Sciences,Sociology and Political Science,Tourism Geographies,True,https://www.tandfonline.com/doi/pdf/10.1080/14616689908721291?needAccess=true,Sustainable tourism: A state‐of‐the‐art review,W2079238586|W3145345180,2
meadows_1972_limits_to_growth,https://openalex.org/W3132132623,https://doi.org/10.1016/j.spc.2021.02.018,3132132623,,2021,2020s,article,,False,en,1237,Sustainable Supply Chain Management,"Business, Management and Accounting",Strategy and Management,Sustainable Production and Consumption,True,https://doi.org/10.1016/j.spc.2021.02.018,Principles for a sustainable circular economy,W2079238586|W3145345180,2
meadows_1972_limits_to_growth,https://openalex.org/W2030753430,https://doi.org/10.1016/j.respol.2011.10.015,2030753430,,2012,2010s,article,,False,en,1141,Innovation Policy and R&D,"Economics, Econometrics and Finance",Economics and Econometrics,Research Policy,False,,"Legitimizing research, technology and innovation policies for transformative change",W2079238586|W3145345180,2
meadows_1972_limits_to_growth,https://openalex.org/W1991464629,https://doi.org/10.1111/j.1468-2427.1982.tb00384.x,1991464629,,1982,1980s,article,,False,en,1086,Global Urban Networks and Dynamics,Social Sciences,Urban Studies,International Journal of Urban and Regional Research,False,,World city formation: an agenda for research and action,W2079238586,1
meadows_1972_limits_to_growth,https://openalex.org/W1988805390,https://doi.org/10.1007/s10551-014-2047-5,1988805390,,2014,2010s,article,,False,en,1046,Corporate Social Responsibility Reporting,"Business, Management and Accounting",Strategy and Management,Journal of Business Ethics,True,https://ueaeprints.uea.ac.uk/id/eprint/63990/1/JBE_2015_Framework_Tensions_Final.pdf,Tensions in Corporate Sustainability: Towards an Integrative Framework,W2079238586|W3145345180,2
meadows_1972_limits_to_growth,https://openalex.org/W2122369844,https://doi.org/10.1016/j.jwb.2009.08.006,2122369844,,2009,2000s,article,,False,en,1040,Environmental Sustainability in Business,"Business, Management and Accounting",Marketing,Journal of World Business,False,,Corporate sustainability and organizational culture,W2079238586|W3145345180,2
meadows_1972_limits_to_growth,https://openalex.org/W4241533837,https://doi.org/10.1017/s1745855206040014,,,2006,2000s,article,,False,en,1005,"Foucault, Power, and Ethics",Social Sciences,Sociology and Political Science,BioSocieties,True,https://link.springer.com/content/pdf/10.1017/S1745855206040014.pdf,Biopower Today,W2079238586,1
meadows_1972_limits_to_growth,https://openalex.org/W2117646535,https://doi.org/10.1287/orsc.13.6.684.501,2117646535,,2002,2000s,article,,False,en,1001,Management and Organizational Studies,"Business, Management and Accounting",Organizational Behavior and Human Resource Management,Organization Science,False,,It's About Time: Temporal Structuring in Organizations,W2079238586|W3145345180,2
meadows_1972_limits_to_growth,https://openalex.org/W2110194581,https://doi.org/10.1016/j.resconrec.2010.11.002,2110194581,,2010,2010s,article,,False,en,892,Environmental Impact and Sustainability,Environmental Science,Environmental Engineering,Resources Conservation and Recycling,False,,Material efficiency: A white paper,W2079238586|W3145345180,2
meadows_1972_limits_to_growth,https://openalex.org/W2131941228,https://doi.org/10.1016/j.annals.2006.06.007,2131941228,,2006,2000s,article,,False,en,886,Diverse Aspects of Tourism Research,Social Sciences,Sociology and Political Science,Annals of Tourism Research,False,,Traditions of sustainability in tourism studies,W2079238586,1
meadows_1972_limits_to_growth,https://openalex.org/W3013632702,https://doi.org/10.1088/1748-9326/ab842a,3013632702,,2020,2020s,review,,False,en,842,Environmental Impact and Sustainability,Environmental Science,Environmental Engineering,Environmental Research Letters,True,https://iopscience.iop.org/article/10.1088/1748-9326/ab842a/pdf,"A systematic review of the evidence on decoupling of GDP, resource use and GHG emissions, part II: synthesizing the insights",W2079238586|W3145345180,2
meadows_1972_limits_to_growth,https://openalex.org/W2807145521,https://doi.org/10.2478/zireb-2018-0005,2807145521,,2018,2010s,article,,False,en,818,Sustainable Development and Environmental Policy,Environmental Science,"Management, Monitoring, Policy and Law",Zagreb international review of economics and business/Zagreb international review of economics & business,True,https://www.sciendo.com/pdf/10.2478/zireb-2018-0005,The Concept of Sustainable Development: From its Beginning to the Contemporary Issues,W2079238586,1
meadows_1972_limits_to_growth,https://openalex.org/W2146786377,https://doi.org/10.1007/s10551-005-7054-0,2146786377,,2005,2000s,article,,False,en,796,Corporate Social Responsibility Reporting,"Business, Management and Accounting",Strategy and Management,Journal of Business Ethics,False,,"Corporations, Stakeholders and Sustainable Development I: A Theoretical Exploration of Business–Society Relations",W2079238586|W3145345180,2
