scope,seed_id,decade,type,attempted_n,yielded_k,rate,wilson95_lo,wilson95_hi
per_seed,commoner_1971_closing_circle,ALL,ALL,298,46,0.1544,0.1178,0.1998
per_seed,meadows_1972_limits_to_growth,ALL,ALL,363,78,0.2149,0.1757,0.2600
per_seed,schumacher_1974_small_is_beautiful,ALL,ALL,306,55,0.1797,0.1408,0.2266
per_seed_by_decade,commoner_1971_closing_circle,1970s,ALL,9,4,0.4444,0.1888,0.7333
per_seed_by_decade,commoner_1971_closing_circle,1980s,ALL,6,2,0.3333,0.0968,0.7000
per_seed_by_decade,commoner_1971_closing_circle,1990s,ALL,12,2,0.1667,0.0470,0.4480
per_seed_by_decade,commoner_1971_closing_circle,2000s,ALL,23,7,0.3043,0.1560,0.5087
per_seed_by_decade,commoner_1971_closing_circle,2010s,ALL,128,8,0.0625,0.0320,0.1185
per_seed_by_decade,commoner_1971_closing_circle,2020s,ALL,120,23,0.1917,0.1313,0.2712
per_seed_by_decade,meadows_1972_limits_to_growth,1970s,ALL,18,11,0.6111,0.3862,0.7969
per_seed_by_decade,meadows_1972_limits_to_growth,1980s,ALL,21,12,0.5714,0.3655,0.7553
per_seed_by_decade,meadows_1972_limits_to_growth,1990s,ALL,22,6,0.2727,0.1315,0.4815
per_seed_by_decade,meadows_1972_limits_to_growth,2000s,ALL,24,8,0.3333,0.1797,0.5329
per_seed_by_decade,meadows_1972_limits_to_growth,2010s,ALL,138,16,0.1159,0.0726,0.1800
per_seed_by_decade,meadows_1972_limits_to_growth,2020s,ALL,140,25,0.1786,0.1240,0.2503
per_seed_by_decade,schumacher_1974_small_is_beautiful,1970s,ALL,3,2,0.6667,0.2077,0.9385
per_seed_by_decade,schumacher_1974_small_is_beautiful,1980s,ALL,5,1,0.2000,0.0362,0.6245
per_seed_by_decade,schumacher_1974_small_is_beautiful,1990s,ALL,13,6,0.4615,0.2321,0.7086
per_seed_by_decade,schumacher_1974_small_is_beautiful,2000s,ALL,21,2,0.0952,0.0265,0.2891
per_seed_by_decade,schumacher_1974_small_is_beautiful,2010s,ALL,131,18,0.1374,0.0887,0.2068
per_seed_by_decade,schumacher_1974_small_is_beautiful,2020s,ALL,133,26,0.1955,0.1370,0.2710
combined,ALL,ALL,ALL,967,179,0.1851,0.1619,0.2108
