dimension,level,n_attempts_in_level,k_yielders_in_level,yield_rate,yield_rate_wilson95_lo,yield_rate_wilson95_hi,n_in_full_census,fraction_of_full_census,fraction_of_attempts,delta_from_overall_rate
decade,1970s,22,14,0.6364,0.4295,0.8027,639,0.0490,0.0249,+0.4770
decade,1980s,21,7,0.3333,0.1719,0.5463,555,0.0425,0.0237,+0.1740
decade,1990s,36,10,0.2778,0.1585,0.4399,930,0.0712,0.0407,+0.1185
decade,2000s,45,12,0.2667,0.1596,0.4104,2417,0.1852,0.0508,+0.1073
decade,2010s,383,37,0.0966,0.0709,0.1303,5341,0.4091,0.4328,-0.0627
decade,2020s,378,61,0.1614,0.1277,0.2018,3163,0.2423,0.4271,+0.0021
decade,unknown,0,0,0.0000,0.0000,0.0000,9,0.0007,0.0000,-0.1593
type,article,554,118,0.2130,0.1809,0.2490,8553,0.6552,0.6260,+0.0537
type,book-chapter,185,5,0.0270,0.0116,0.0617,2925,0.2241,0.2090,-0.1323
type,dissertation,63,3,0.0476,0.0163,0.1309,590,0.0452,0.0712,-0.1117
type,book,25,1,0.0400,0.0071,0.1954,352,0.0270,0.0282,-0.1193
type,preprint,20,5,0.2500,0.1119,0.4687,219,0.0168,0.0226,+0.0907
type,review,22,4,0.1818,0.0731,0.3852,207,0.0159,0.0249,+0.0225
type,other,6,0,0.0000,0.0000,0.3903,125,0.0096,0.0068,-0.1593
type,editorial,4,3,0.7500,0.3006,0.9544,28,0.0021,0.0045,+0.5907
primary_field,Environmental Science,220,37,0.1682,0.1245,0.2232,3500,0.2681,0.2486,+0.0089
primary_field,Social Sciences,210,33,0.1571,0.1141,0.2125,2964,0.2271,0.2373,-0.0022
primary_field,"Economics, Econometrics and Finance",78,10,0.1282,0.0712,0.2202,1459,0.1118,0.0881,-0.0311
primary_field,"Business, Management and Accounting",115,20,0.1739,0.1155,0.2534,1112,0.0852,0.1299,+0.0146
primary_field,Engineering,52,6,0.1154,0.0540,0.2297,820,0.0628,0.0588,-0.0439
primary_field,Decision Sciences,28,6,0.2143,0.1021,0.3954,686,0.0526,0.0316,+0.0550
primary_field,Energy,34,5,0.1471,0.0645,0.3013,651,0.0499,0.0384,-0.0123
primary_field,Arts and Humanities,45,6,0.1333,0.0626,0.2618,455,0.0349,0.0508,-0.0260
primary_field,Agricultural and Biological Sciences,29,4,0.1379,0.0550,0.3056,409,0.0313,0.0328,-0.0214
primary_field,Psychology,17,3,0.1765,0.0619,0.4103,184,0.0141,0.0192,+0.0171
is_oa,OA,534,139,0.2603,0.2249,0.2991,4986,0.3820,0.6034,+0.1010
is_oa,non-OA,351,2,0.0057,0.0016,0.0205,8068,0.6180,0.3966,-0.1536
language,en,808,129,0.1597,0.1360,0.1865,11777,0.9022,0.9130,+0.0003
language,de,17,1,0.0588,0.0105,0.2698,397,0.0304,0.0192,-0.1005
language,es,22,5,0.2273,0.1012,0.4344,233,0.0178,0.0249,+0.0680
language,pt,8,0,0.0000,0.0000,0.3244,186,0.0142,0.0090,-0.1593
language,fr,4,1,0.2500,0.0456,0.6994,138,0.0106,0.0045,+0.0907
language,pl,6,1,0.1667,0.0301,0.5635,68,0.0052,0.0068,+0.0073
seed_id,meadows_1972_limits_to_growth,312,53,0.1699,0.1323,0.2155,10478,0.8027,0.3525,+0.0105
seed_id,commoner_1971_closing_circle,283,38,0.1343,0.0994,0.1789,1116,0.0855,0.3198,-0.0250
seed_id,schumacher_1974_small_is_beautiful,290,50,0.1724,0.1333,0.2201,1460,0.1118,0.3277,+0.0131
