seed_id,decade,citing_openalex_id,citing_doi,citing_year,citing_type,citing_language,citing_is_oa,citing_oa_url,citing_primary_field,citing_primary_source,citing_title,extraction_attempted,recovery_recommendation
meadows_1972_limits_to_growth,1980s,https://openalex.org/W1991464629,https://doi.org/10.1111/j.1468-2427.1982.tb00384.x,1982,article,en,False,,Social Sciences,International Journal of Urban and Regional Research,World city formation: an agenda for research and action,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W1983368572,https://doi.org/10.2307/2233770,1989,article,en,False,,"Economics, Econometrics and Finance",The Economic Journal,The Impact of Exchange Rates and Developing Country Debt on Commodity Prices,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2325464540,https://doi.org/10.1086/jar.41.3.3630596,1985,article,en,False,,Arts and Humanities,Journal of Anthropological Research,The Ancient Maya and the Political Present,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2332514830,https://doi.org/10.2307/2808100,1988,article,en,False,,Energy,Population and Development Review,The Economics of Natural Resources,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2147076119,https://doi.org/10.1177/019251218200300211,1982,article,en,False,,Physics and Astronomy,International Political Science Review,New Political Values for a World in Crisis,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W2082412375,https://doi.org/10.1007/bf01536732,1973,article,en,False,,Earth and Planetary Sciences,Human Ecology,Primary production: The biosphere and man,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2396506239,https://doi.org/10.1080/00213624.1987.11504702,1987,article,en,False,,"Economics, Econometrics and Finance",Journal of Economic Issues,Resources Are Not; They Become: An Institutional Theory,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2326095036,https://doi.org/10.1007/bf01059855,1988,article,en,False,,Decision Sciences,Systemic Practice and Action Research,"Systems thinking, systems practice, and practical philosophy: A program of research",no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W1993424900,https://doi.org/10.1007/bf02137634,1972,article,en,False,,"Business, Management and Accounting",Interchange,Overview of the innovative process and the user,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2042694323,https://doi.org/10.1016/0095-0696(80)90027-3,1980,article,en,True,https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?article=1025&amp;amp;context=sis_research,"Economics, Econometrics and Finance",Journal of Environmental Economics and Management,The role of technological change,yes,had OA URL but extraction yielded 0 — likely PDF parsing limitation; library physical/digital lookup recommended
meadows_1972_limits_to_growth,1970s,https://openalex.org/W2053060642,https://doi.org/10.1007/bf00598126,1975,article,en,False,,Social Sciences,International Review of Education,The necessity of an anthropo-ecological dimension in education. Possibilities for its realisation,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2127544212,https://doi.org/10.1177/0143831x8782002,1987,article,en,True,https://resolver.sub.uni-goettingen.de/purl?gro-2/91894,Social Sciences,Economic and Industrial Democracy,Limits of the Division of Labour. New Production and Employment Concepts in West German Industry,no,"OA URL present, not sampled in this run — extend automated extraction first"
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2046048220,https://doi.org/10.1016/0040-1625(89)90009-7,1989,article,en,False,,Decision Sciences,Technological Forecasting and Social Change,The future of technological forecasting,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W2049687102,https://doi.org/10.2190/3j5n-u7tn-ln61-e2e6,1977,review,en,False,,Energy,Journal of Environmental Systems,Recent Energy Models: A Review of Methodologies,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W2016991854,https://doi.org/10.1016/0305-0483(73)90084-4,1973,article,en,False,,Social Sciences,Omega,"Operational research, social well-being and the zero growth concept",no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W2092685557,https://doi.org/10.1007/bf02367199,1973,article,en,False,,"Economics, Econometrics and Finance",De Economist,Pollution in a neo-classical world: The classics rehabilitated?,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W414333926,,1989,article,en,False,,Earth and Planetary Sciences,Medical Entomology and Zoology,Gaia futures : the emerging mythology and politics of the earth,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2038291828,https://doi.org/10.1080/01448765.1986.9754470,1986,article,en,False,,Environmental Science,Biological Agriculture & Horticulture,Biological Husbandry and the “Nitrogen Problem”,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W1481685930,https://doi.org/10.1016/0016-3287(76)90108-7,1976,article,en,False,,Energy,Futures,Non-renewable resources,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W1999040791,https://doi.org/10.1007/bf01531455,1976,article,en,False,,Environmental Science,Human Ecology,Energy and the structure of social institutions,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2041663835,https://doi.org/10.1002/ir.37019833906,1983,article,en,False,,Decision Sciences,New Directions for Institutional Research,Multiple scenario analysis: Introducing uncertainty into the planning process,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2088006599,https://doi.org/10.1016/0167-6245(89)90020-6,1989,article,en,False,,"Economics, Econometrics and Finance",Information Economics and Policy,Knowledge of growth and the growth of knowledge,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W1983633503,https://doi.org/10.1086/642931,1973,article,en,False,,"Economics, Econometrics and Finance",Social Service Review,Welfare and the Steady State: An Essay Review,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W2066522898,https://doi.org/10.1002/bs.3830190203,1974,article,en,False,,Decision Sciences,Systems Research and Behavioral Science,The entropy of complex dynamic systems,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W2080767498,https://doi.org/10.1126/science.187.4180.925,1975,article,en,False,,"Economics, Econometrics and Finance",Science,A Historical Approach to Future Economic Growth,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W2034039514,https://doi.org/10.1017/s0003975600003003,1975,article,en,False,,Social Sciences,European Journal of Sociology,On the Rationality of Institutions in Modern Life,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W1989684289,https://doi.org/10.1016/0301-4207(77)90014-9,1977,article,en,False,,Computer Science,Resources Policy,Statistical estimation of global mineral resources,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2111538065,https://doi.org/10.2307/2131076,1985,article,en,False,,"Economics, Econometrics and Finance",The Journal of Politics,National Growth and International Conflict: A Reevaluation of Choucri and North's Thesis,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W1970296616,https://doi.org/10.1080/10357717308444479,1973,article,en,False,,Social Sciences,Australian Outlook,Third‐world poverty,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W2011921809,https://doi.org/10.1080/00207237908737395,1979,article,en,False,,Social Sciences,International Journal of Environmental Studies,Environment and development: The case of Israel,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2005754710,https://doi.org/10.1002/ir.37019833905,1983,article,en,False,,"Economics, Econometrics and Finance",New Directions for Institutional Research,Judgmental forecasting techniques and institutional planning: An example,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2017280319,https://doi.org/10.1111/j.1468-0076.1980.tb00101.x,1980,article,en,False,,Energy,OPEC Review,RESOURCE DEPLETION THEORIES AND PLANNING IN MINERAL EXPORTING ECONOMIES WITH PARTICULAR REFERENCE TO PETROLEUM EXPORTERS,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2043961754,https://doi.org/10.1002/1520-6297(198721)3:1<3::aid-agr2720030103>3.0.co;2-r,1987,article,en,False,,Environmental Science,Agribusiness,Brazilian soybeans: Agribusiness “miracle”,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W1975727982,https://doi.org/10.1177/019251218300400311,1983,article,en,False,,Social Sciences,International Political Science Review,"Of Time, Body, and Scarcity",no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2110003908,https://doi.org/10.1049/ip-f-1:19840102,1984,article,en,False,,Engineering,"IEE Proceedings F Communications, Radar and Signal Processing",Future trends in telecommunications transmission - a personal view,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W111109666,https://doi.org/10.1007/bf00426119,1973,article,en,False,,Environmental Science,Analytical and Bioanalytical Chemistry,Air pollution measurement as a tool for practical policy and control strategy,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W1687398018,,1987,preprint,en,False,,"Economics, Econometrics and Finance",RePEc: Research Papers in Economics,How long is Simon’s long run? : a first approach,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W2028495025,https://doi.org/10.1080/00958964.1979.9941349,1979,article,en,False,,Energy,The Journal of Environmental Education,Environmental Awareness in the Year 2000,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2073279734,https://doi.org/10.1007/bf00213562,1981,article,en,False,,Energy,GeoJournal,New perspectives on natural resource development in developing countries,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W2077447382,https://doi.org/10.1007/bf02826171,1978,article,en,False,,"Business, Management and Accounting",Forum for Social Economics,The poverty of affluence: The limits of growth in a world of technology and change,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1980s,https://openalex.org/W2972639423,,1989,article,es,False,,Social Sciences,,"Ambiente, calidad de vida y desarrollo regional: una perspectiva de futuro",no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W2302199700,https://doi.org/10.1179/mng.1976.1976.1.1,1976,article,en,False,,Decision Sciences,Ming Studies,Promises and Problems of Science: Some Economic and Ethical Aspects,no,no OA URL and not attempted — library physical/digital lookup required
meadows_1972_limits_to_growth,1970s,https://openalex.org/W2050332507,https://doi.org/10.1136/sti.48.5.376,1972,article,en,True,https://sti.bmj.com/content/sextrans/48/5/376.full.pdf,Immunology and Microbiology,Sexually Transmitted Infections,Potential impact of chemical prophylaxis on the incidence of gonorrhoea.,no,"OA URL present, not sampled in this run — extend automated extraction first"
