seed_id,decade,census_N,sampled_n_union,yielded_k_union,rate_point,rate_wilson95_lo,rate_wilson95_hi,projected_yielding_works_point,projected_yielding_works_lo,projected_yielding_works_hi
commoner_1971_closing_circle,1970s,112,7,3,0.4286,0.1582,0.7495,48.0,17.7,83.9
commoner_1971_closing_circle,1980s,101,5,1,0.2000,0.0362,0.6245,20.2,3.7,63.1
commoner_1971_closing_circle,1990s,134,11,2,0.1818,0.0514,0.4770,24.4,6.9,63.9
commoner_1971_closing_circle,2000s,226,15,4,0.2667,0.1090,0.5195,60.3,24.6,117.4
commoner_1971_closing_circle,2010s,423,125,7,0.0560,0.0274,0.1111,23.7,11.6,47.0
commoner_1971_closing_circle,2020s,120,120,21,0.1750,0.1174,0.2528,21.0,14.1,30.3
meadows_1972_limits_to_growth,1970s,500,12,9,0.7500,0.4677,0.9111,375.0,233.8,455.5
meadows_1972_limits_to_growth,1980s,400,11,5,0.4545,0.2127,0.7199,181.8,85.1,288.0
meadows_1972_limits_to_growth,1990s,699,12,2,0.1667,0.0470,0.4480,116.5,32.8,313.2
meadows_1972_limits_to_growth,2000s,1848,16,6,0.3750,0.1848,0.6136,693.0,341.5,1133.9
meadows_1972_limits_to_growth,2010s,4224,130,13,0.1000,0.0594,0.1636,422.4,250.8,691.0
meadows_1972_limits_to_growth,2020s,2799,131,18,0.1374,0.0887,0.2068,384.6,248.3,578.7
meadows_1972_limits_to_growth,unknown,8,0,0,0.0000,0.0000,0.0000,0.0,0.0,0.0
schumacher_1974_small_is_beautiful,1970s,27,3,2,0.6667,0.2077,0.9385,18.0,5.6,25.3
schumacher_1974_small_is_beautiful,1980s,54,5,1,0.2000,0.0362,0.6245,10.8,2.0,33.7
schumacher_1974_small_is_beautiful,1990s,97,13,6,0.4615,0.2321,0.7086,44.8,22.5,68.7
schumacher_1974_small_is_beautiful,2000s,343,14,2,0.1429,0.0401,0.3994,49.0,13.8,137.0
schumacher_1974_small_is_beautiful,2010s,694,128,17,0.1328,0.0846,0.2024,92.2,58.7,140.5
schumacher_1974_small_is_beautiful,2020s,244,127,22,0.1732,0.1173,0.2484,42.3,28.6,60.6
schumacher_1974_small_is_beautiful,unknown,1,0,0,0.0000,0.0000,0.0000,0.0,0.0,0.0
TOTAL,ALL,13054,885,141,0.1593,(see overall_wilson_below),(see overall_wilson_below),2628,1402,4332

headline,metric,point,wilson95_lo,wilson95_hi,units
stratified,projected_yielding_works,2628,1402,4332,"citing works in the 13,054-work census predicted to yield >=1 context"
stratified,contexts_per_yielding_work_mean_observed,2.014,1.770,2.258,contexts per yielding work (sample n=141 yielders; sd=1.478)
stratified,projected_contexts,5293,2482,9782,extracted citing-context strings (= projected_yielding_works * mean_contexts/yielder)
naive_for_reference_only,"projected_yielding_works (naive 13,054 * overall rate)",2080,1784,2414,naive estimate — superseded by stratified above
